key,candidate,family,pbuf_compatibility,potential_role,stability,differentiability,constitutive_admissibility,neighbour_interaction,stored_energy,recovery,wave_propagation,progressive_hardening,finite_energy_compatibility,emergent_metric_compatibility,emergent_duration_compatibility,weak_field_compatibility,mathematical_simplicity,governing_equation_readiness
E11,Incompressible hyperelastic constraint,constraint class,conditional,restricted constitutive subclass,conditional,yes,conditional,balance-only/none,yes,Reversible if the deviatoric law is elastic.,Shear waves possible; compressional mode becomes constrained.,Inherited from What.,conditional,conditional,compatible,"Eliminates volumetric compliance, which may conflict with the frozen tangent.",moderate/low,partial
W01,Strain-gradient elasticity,gradient/nonlocal,conditional,interaction/hybrid mechanism,conditional,yes,conditional,intrinsic,yes,Conservative recovery; boundary conditions matter.,Supports dispersive elastic waves with positive inertia.,"Inherited from W; gradient stiffens short wavelengths, not amplitudes.",conditional,conditional,compatible,Local tangent remains common; q-dependent stiffness appears.,moderate/low,partial
W02,Integral nonlocal elasticity,gradient/nonlocal,conditional,interaction mechanism,conditional,yes,conditional,intrinsic,yes,Conservative for symmetric kernels.,Dispersive waves for a positive Fourier symbol and inertia.,Kernel nonlinearity may harden; linear kernels do not.,conditional,conditional,compatible,Kernel moments can recover local elasticity.,moderate/low,partial
W03,Bond-based peridynamics,gradient/nonlocal,conditional,interaction mechanism,conditional,yes,conditional,intrinsic,yes,Elastic bonds recover; bond-breaking versions do not.,Supports dispersive waves; stability follows positive bond stiffness.,Nonlinear bond force can harden or soften.,conditional,conditional,compatible,"Local elasticity recovered asymptotically, with bond-based Poisson restrictions.",moderate/low,partial
W04,Micropolar/Cosserat elasticity,generalized continuum,ontology-change,rejected pending derived internal field,conditional,yes,conditional,intrinsic,yes,Elastic recovery when energy is positive.,Additional rotational/optic wave branches.,Usually linear; nonlinear versions may harden.,conditional,conditional,compatible,Adds rotational modes beyond ordinary elasticity.,moderate/low,partial
W05,Nonlinear elastic wave continuum,wave/nonlinear,conditional,wave/hybrid mechanism,conditional,yes,conditional,intrinsic,yes,Conservative smooth solutions can recover; shocks require entropy/dissipation.,"Supports amplitude-dependent speeds, steepening and shocks.",Inherited from W; can be progressive.,conditional,conditional,compatible,Linearized acoustic tensor recovers weak waves.,moderate/low,partial
F01,Tension-only cable/rope network,fibre/network,conditional,topology-driven exemplar,conditional,piecewise,conditional,intrinsic,yes,Elastic if fibres do not slip or yield.,Tension waves along taut paths; slack regions do not transmit them.,Geometric recruitment and fibre law can harden.,conditional,conditional,compatible,An isotropic random network may homogenize to an elastic tangent.,moderate/low,partial
F02,Worm-like-chain network,fibre/network,conditional,constitutive exemplar,conditional,yes,conditional,intrinsic,yes,Entropic reversible recovery in ideal conditions.,Elastic waves after network homogenization and inertia.,Strong finite-extensibility hardening.,conditional,conditional,compatible,Small extension has a finite tangent after prestress/reference choice.,moderate/low,partial
F03,Holzapfel-Gasser-Ogden fibre composite,anisotropic hyperelastic,ontology-change,rejected pending anisotropy derivation,conditional,yes,conditional,balance-only/none,yes,Reversible idealization.,Direction-dependent elastic waves.,Fibre recruitment gives strong hardening.,conditional,conditional,compatible,Can share an isotropic tangent if orientations average isotropically.,moderate/low,partial
M01,Prestretched membrane,membrane/shell,ontology-change,rejected as complete law,conditional,yes,conditional,intrinsic,yes,Elastic return while tension remains positive.,Strong transverse membrane waves under positive tension.,Geometric stiffening can occur with deflection.,conditional,conditional,compatible,"Small waves depend on prestress, not solely material modulus.",high,partial
M02,Elastic plate/shell bending,membrane/shell,ontology-change,rejected as complete law,conditional,yes,conditional,intrinsic,yes,Elastic on a stable branch.,Dispersive flexural waves plus membrane waves.,Geometric nonlinearities may harden or buckle/soften.,conditional,conditional,compatible,Flexural omega scales as q^2 without tension.,moderate/low,partial
V01,Ideal/barotropic fluid,fluid,incompatible,rejected complete law,conditional,yes,conditional,balance-only/none,yes,Returns density via pressure but not shear shape.,Supports longitudinal sound; no elastic shear waves.,Equation of state may stiffen in compression.,conditional,conditional,compatible,Sound speed squared dp/drho must be positive.,high,partial
V02,Kelvin-Voigt viscoelastic solid,viscoelastic,conditional,dissipative hybrid,conditional,yes,conditional,intrinsic,yes,Creep is bounded and unloading recovers asymptotically.,Damped/dispersive elastic waves with inertia.,Linear version has no progressive hardening.,conditional,conditional,conditional,Recovers Hooke elasticity at low rate/static limit.,high,partial
V03,Maxwell viscoelastic fluid,viscoelastic,incompatible,rejected complete law,conditional,yes,conditional,balance-only/none,yes,Does not recover total strain after unloading.,Frequency-dependent waves may be overdamped at low frequency.,Linear model has no progressive hardening.,conditional,conditional,conditional,Has elastic response at high frequency.,moderate/low,partial
V04,Standard linear solid,viscoelastic,conditional,dissipative hybrid,conditional,yes,conditional,balance-only/none,yes,Recovers to zero strain for zero stress.,Damped waves with bounded low/high frequency moduli.,Linear unless nonlinear springs are used.,conditional,conditional,conditional,Positive relaxed modulus supplies weak recovery.,moderate/low,partial
V05,Oldroyd-B viscoelastic fluid,viscoelastic fluid,ontology-change,rejected complete law,conditional,yes,conditional,balance-only/none,yes,"Conformation relaxes, but material elements flow.",Complex elastic/viscous modes; often diffusive or damped.,Hookean chains do not finitely harden.,conditional,conditional,conditional,"Positive zero-shear viscosity, elastic high-rate response.",moderate/low,partial
V06,Two-fluid superfluid hydrodynamics,quantum/fluid,ontology-change,rejected complete law,conditional,yes,conditional,balance-only/none,non-elastic,No generic recovery of shear deformation.,First and second sound plus vortical excitations.,"Equation of state, not progressive elastic hardening.",conditional,conditional,compatible,Sound modes exist with positive thermodynamic derivatives.,moderate/low,partial
V07,Gross-Pitaevskii/BEC continuum,quantum/fluid,incompatible,rejected,conditional,yes,conditional,intrinsic,yes,Hamiltonian but not recovery of an elastic C state.,Bogoliubov sound and dispersive short waves.,Nonlinear density pressure; not finite-strain hardening.,conditional,conditional,compatible,Linearization gives acoustic dispersion.,high,partial
L01,Harmonic crystal/phonon lattice,lattice/crystal,ontology-change,rejected microscopic mechanism,conditional,yes,conditional,intrinsic,yes,Exact in the harmonic idealization.,Acoustic and optical dispersive branches.,None; harmonic tangent is constant.,conditional,conditional,compatible,Continuum long-wave limit is Hookean.,moderate/low,partial
L02,Fermi-Pasta-Ulam nonlinear lattice,lattice/crystal,ontology-change,hybrid exemplar,conditional,yes,conditional,intrinsic,yes,Conservative; recovery depends on phase/mode distribution.,"Nonlinear dispersion, mode coupling, solitons and recurrences.",Positive quartic terms harden at large amplitude.,conditional,conditional,compatible,Harmonic long-wave limit.,high,partial
L03,Central pair-potential continuum,field-mediated/network,ontology-change,interaction analogy,conditional,yes,conditional,intrinsic,yes,Conservative return locally.,Phonon-like waves about a stable minimum.,Depends on anharmonic curvature of V.,conditional,conditional,compatible,Hessian at equilibrium gives elastic constants.,moderate/low,partial
C01,Open-cell/bending-dominated foam,cellular/topological,conditional,topology-driven exemplar,conditional,yes,conditional,intrinsic,yes,Recoverable only before buckling damage/plasticity.,Elastic waves with band/dispersion effects.,Densification produces strong compressive hardening after a plateau.,conditional,conditional,compatible,Low effective moduli controlled by relative density.,moderate/low,partial
C02,Affine entropic network,cellular/topological,conditional,constitutive exemplar,conditional,yes,conditional,intrinsic,yes,Reversible ideal network.,Elastic waves after homogenization.,Finite chains or nonaffinity can harden.,conditional,conditional,compatible,Isotropic orientation average yields standard elastic tangent.,moderate/low,partial
A01,Rate-independent plasticity with work hardening,inelastic/history,incompatible,rejected,conditional,piecewise,conditional,intrinsic,yes,Does not recover plastic deformation.,Elastic precursor waves; plastic waves/shocks possible.,"Yes, through evolving yield strength, not reversible tangent hardening.",conditional,conditional,conditional,Elastic tangent before yield.,moderate/low,partial
A02,Continuum damage/phase-field fracture,inelastic/history,incompatible,rejected,conditional,yes,conditional,intrinsic,yes,Irreversibility constraint d_dot>=0 prevents recovery.,Waves attenuate/scatter as damage grows.,"Softening, not progressive elastic hardening.",conditional,conditional,conditional,Undamaged tangent can match elasticity.,moderate/low,partial
A03,Shape-memory phase-transforming solid,phase-transforming,ontology-change,rejected,conditional,yes,conditional,balance-only/none,yes,Recovery requires thermal or stress cycling; hysteretic.,Complex dispersive/attenuated waves across phases.,"Plateaus and subsequent hardening, not monotone single-well response.",conditional,conditional,conditional,One well has an elastic tangent.,moderate/low,partial
A04,Jammed granular/contact network,contact/topological,ontology-change,rejected microscopic mechanism,conditional,piecewise,conditional,intrinsic,yes,Frictionless elastic contacts may recover; rearrangements/hysteresis generally do not.,Acoustic modes emerge above jamming; anomalous soft modes near threshold.,Hertz contacts harden with overlap; network changes can soften.,conditional,conditional,compatible,Moduli vanish or scale near the jamming point.,moderate/low,partial
X01,Magnetoelastic continuum,field-coupled,ontology-change,rejected as native mechanism,conditional,yes,conditional,balance-only/none,yes,Potentially reversible without hysteresis.,Coupled magnetoacoustic waves.,Field can stiffen or soften depending on coupling.,conditional,conditional,compatible,At zero field can reduce to ordinary elasticity.,moderate/low,partial
X02,Liquid-crystal elastomer,field-coupled/anisotropic,ontology-change,rejected,conditional,yes,conditional,balance-only/none,yes,May recover but can have domains/hysteresis.,Coupled acoustic and orientational modes.,Often soft or semisoft rather than progressively hardening.,conditional,conditional,compatible,Director relaxation changes the apparent tangent.,moderate/low,partial
T01,Negative-stiffness stabilized composite,metamaterial,incompatible,rejected,conditional,yes,conditional,intrinsic,yes,Often metastable and hysteretic.,Unusual dispersion; stability requires positive total dynamic energy.,"Can switch, soften or show negative incremental stiffness.",conditional,conditional,compatible,Weak effective modulus can be enhanced or approach instability.,moderate/low,partial
T02,Locally resonant elastic metamaterial,metamaterial,ontology-change,rejected complete mechanism,conditional,yes,conditional,balance-only/none,yes,Elastic idealization recovers; damping can be added.,Strongly dispersive waves and stop bands.,Not amplitude hardening unless resonators are nonlinear.,conditional,conditional,compatible,Long-wave effective parameters are frequency dependent.,moderate/low,partial
H01,Gradient hyperelastic hybrid,hybrid,conditional,hybrid mechanism,conditional,yes,conditional,intrinsic,yes,Reversible on a stable branch.,Dispersive nonlinear elastic waves with positive inertia.,"Inherited from Phi; can be polynomial, exponential or barrier.",conditional,conditional,compatible,Common PBUF tangent plus q-dependent correction.,moderate/low,high
H02,Fibre-reinforced matrix hybrid,hybrid,ontology-change,hybrid exemplar,conditional,yes,conditional,intrinsic,yes,Reversible idealization.,Anisotropic waves.,Recruitment/finite fibres progressively harden.,conditional,conditional,compatible,Isotropic tangent possible only for isotropic orientation ensemble.,moderate/low,partial
H03,Visco-hyperelastic solid,hybrid,conditional,hybrid mechanism,conditional,yes,conditional,intrinsic,yes,Equilibrium branch recovers; transient branches relax.,Damped nonlinear elastic waves.,Can inherit progressive hardening from W_eq.,conditional,conditional,conditional,Equilibrium tangent can match PBUF.,moderate/low,partial
